ts,server_id,cpu_pct,mem_pct,net_in,net_out,disk_io
20:54:00,server_1,45.07,77.18,482.23,672.06,119.86
20:54:00,server_20,76.52,35.41,11227.77,10484.96,145.4
20:54:00,server_19,61.47,47.3,13978.97,13356.48,9.57
20:54:00,server_18,34.8,44.89,311.96,278.51,31.65
20:54:00,server_17,43.43,42.78,443.11,354.7,82.9
20:54:00,server_16,79.23,35.39,7798.32,7835.02,189.59
20:54:00,server_14,46.15,46.13,2591.3,2574.99,933.17
20:54:00,server_13,49.13,48.69,489.08,464.44,79.5
20:54:00,server_12,59.78,69.21,4967.7,5035.11,599.14
20:54:00,server_11,41.77,36.18,184.25,125.07,8309.43
20:54:00,server_15,41.54,36.3,73.62,41.12,6608.59
20:54:00,server_9,50.63,61.54,515.59,433.95,134.18
20:54:00,server_8,23.35,23.07,52.61,70.53,6507.6
20:54:00,server_7,18.84,98.31,281.33,228.06,6.3
20:54:00,server_6,42.15,36.29,450.96,275.14,68.0
20:54:00,server_5,63.25,86.46,552.51,454.61,24.9
20:54:00,server_4,27.74,49.88,13.13,9.65,6460.57
20:54:00,server_3,21.69,44.46,272.95,280.89,29.26
20:54:00,server_2,88.23,3.81,905.97,460.36,59.47
20:54:00,server_10,54.96,48.49,4861.49,4067.74,1259.21
20:54:05,server_13,67.24,56.58,3600.46,4124.06,525.98
20:54:05,server_14,50.79,39.67,16918.54,14469.17,117.47
20:54:05,server_15,41.77,38.93,473.04,430.52,41.58
20:54:05,server_16,82.65,18.84,823.63,798.0,107.82
20:54:05,server_20,49.42,49.59,4554.74,5044.26,1302.35
20:54:05,server_18,92.43,20.21,941.77,936.01,15.4
20:54:05,server_19,50.8,58.77,448.8,586.3,52.13
20:54:05,server_12,67.59,74.47,750.77,1122.34,79.98
20:54:05,server_17,44.89,62.98,1399.46,1491.89,1027.54
20:54:05,server_11,25.18,89.69,261.44,146.49,79.63
20:54:05,server_5,22.81,81.39,206.2,244.29,80.19
20:54:05,server_9,20.3,49.49,167.86,123.72,9739.63
20:54:05,server_10,44.76,40.57,399.95,537.37,90.27
20:54:05,server_2,93.56,93.46,889.58,787.11,124.57
20:54:05,server_3,22.77,40.77,130.23,130.98,59.56
20:54:05,server_4,91.79,0.09,885.42,621.91,2.79
20:54:05,server_1,87.53,92.7,922.9,1294.56,111.63
20:54:05,server_6,27.55,89.53,217.97,182.3,7.49
20:54:05,server_7,58.46,50.98,541.86,292.84,59.88
20:54:05,server_8,36.58,42.74,338.13,353.47,0.0
20:54:10,server_20,91.13,88.73,885.79,550.02,28.85
20:54:10,server_19,63.02,50.14,2164.19,1736.57,876.86
20:54:10,server_18,96.3,82.83,953.3,926.72,78.73
20:54:10,server_17,42.7,56.53,1042.7,1168.75,1733.85
20:54:10,server_16,63.12,45.66,15318.91,13363.24,47.35
20:54:10,server_14,0.18,89.36,0.0,0.0,95.64
20:54:10,server_13,57.69,46.34,581.86,861.66,51.32
20:54:10,server_12,49.76,66.0,2626.75,2135.79,785.15
20:54:10,server_11,20.72,25.81,157.41,190.72,0.0
20:54:10,server_15,47.09,42.62,465.83,438.38,10.13
20:54:10,server_9,35.25,47.03,286.46,163.73,79.74
20:54:10,server_2,62.94,68.23,571.86,848.84,0.0
20:54:10,server_3,29.03,48.43,1.73,1.03,7531.82
20:54:10,server_4,89.56,25.42,961.26,1054.94,102.03
20:54:10,server_5,98.79,85.45,1026.46,968.43,181.58
20:54:10,server_1,57.29,47.39,511.58,710.32,0.0
20:54:10,server_6,43.25,28.3,157.33,144.55,4564.3
20:54:10,server_7,45.82,60.16,397.76,213.94,89.17
20:54:10,server_8,82.9,17.0,837.66,487.3,30.39
20:54:10,server_10,55.42,45.65,19223.66,22758.0,154.73
20:54:15,server_12,36.3,42.26,367.82,298.36,2.02
20:54:15,server_19,23.1,32.77,168.16,246.61,86.3
20:54:15,server_18,85.04,22.2,865.64,870.86,88.68
20:54:15,server_17,32.15,29.52,177.31,100.66,9817.36
20:54:15,server_16,29.59,39.24,271.46,377.51,4.37
20:54:15,server_15,60.99,69.99,635.94,924.36,99.38
20:54:15,server_14,95.91,26.56,920.07,615.12,115.71
20:54:15,server_13,46.93,35.9,113.52,94.15,4123.1
20:54:15,server_11,66.87,66.36,639.82,370.09,0.0
20:54:15,server_20,23.17,83.5,227.1,202.94,0.0
20:54:15,server_9,93.87,3.07,1011.74,1058.57,54.33
20:54:15,server_1,69.93,46.18,1736.21,1933.78,1769.96
20:54:15,server_2,43.38,47.21,428.14,440.71,0.0
20:54:15,server_3,63.98,46.19,2989.18,3161.53,1472.54
20:54:15,server_4,41.54,38.74,431.83,438.3,26.76
20:54:15,server_10,60.66,64.0,4948.15,4597.26,1324.98
20:54:15,server_6,1.54,92.21,0.0,0.0,6.82
20:54:15,server_7,89.91,10.58,974.9,513.99,28.86
20:54:15,server_8,42.4,41.86,51.93,57.92,5095.76
20:54:15,server_5,63.28,79.99,589.57,327.91,62.65
20:54:20,server_11,53.18,40.6,10427.37,8700.07,194.16
20:54:20,server_19,28.88,87.02,265.76,188.21,123.58
20:54:20,server_18,46.68,41.72,4432.4,5057.09,1287.76
20:54:20,server_17,55.79,60.72,527.89,393.31,115.78
20:54:20,server_16,50.68,49.23,14380.85,15423.93,127.25
20:54:20,server_15,24.9,21.98,244.71,192.36,106.81
20:54:20,server_14,10.37,83.35,0.0,0.0,133.99
20:54:20,server_13,94.76,99.35,867.28,1034.68,70.44
20:54:20,server_12,31.62,37.43,299.77,431.25,7.79
20:54:20,server_20,20.04,38.81,163.41,161.99,9930.69
20:54:20,server_10,46.05,30.22,155.17,86.71,6326.45
20:54:20,server_8,35.35,23.79,21.46,13.69,6485.44
20:54:20,server_7,67.11,34.53,15358.19,14596.46,39.21
20:54:20,server_6,2.62,98.82,0.0,0.0,98.16
20:54:20,server_5,68.57,76.45,665.81,642.41,21.69
20:54:20,server_4,50.21,32.36,8278.07,9727.86,38.64
20:54:20,server_3,21.57,22.65,220.94,176.77,0.0
20:54:20,server_2,60.3,48.83,18085.98,15032.77,61.12
20:54:20,server_1,87.9,26.07,946.22,1093.25,99.4
20:54:20,server_9,92.57,95.77,875.45,1204.53,130.29
20:54:25,server_13,96.52,12.86,963.05,829.78,50.33
20:54:25,server_14,95.27,28.83,1053.69,646.6,48.26
20:54:25,server_16,48.02,58.16,550.65,356.02,82.86
20:54:25,server_12,62.5,47.97,2716.12,2604.85,1692.26
20:54:25,server_18,33.76,39.12,351.85,200.8,0.0
20:54:25,server_19,94.39,99.75,1063.7,849.18,80.82
20:54:25,server_20,61.73,61.48,562.72,755.1,135.13
20:54:25,server_17,99.53,88.2,998.48,1375.55,123.98
20:54:25,server_11,37.96,36.63,419.76,577.23,108.04
20:54:25,server_15,22.16,28.13,55.13,59.17,8628.23
20:54:25,server_9,49.31,49.29,501.59,262.52,97.28
20:54:25,server_1,86.43,88.7,971.79,785.6,140.1
20:54:25,server_2,52.48,45.16,4502.18,5344.28,672.55
20:54:25,server_3,58.73,62.2,576.94,549.93,16.98
20:54:25,server_4,48.54,45.66,4453.23,5085.44,1503.7
20:54:25,server_10,57.19,61.02,562.37,523.24,130.85
